University,Overall,Rank,Citation,Fac_Stud,Int_Fac,Acad_Rep,Emp_Rep,Int_Stud
Massachusetts Institute of Technology (MIT),100,1,100,100,100,100,100,95.5
Harvard University,98.7,2,100,98.6,99.9,100,100,76
University of Cambridge,98.6,3,93.7,100,96.2,100,100,96.6
Stanford University,98.6,3,99.9,99.5,97.6,100,100,72.8
California Institute of Technology (Caltech),97.9,5,100,100,90.2,99.8,89.6,85.2
University of Oxford,97.7,6,88.9,100,97.8,100,100,96.6
UCL (University College London),97.2,7,88,98.6,95.5,99.9,99.8,99.9
Imperial College London,96.1,8,79.6,99.9,100,99.9,100,100
ETH Zurich - Swiss Federal Institute of Technology,95.5,9,98.8,78.6,100,99.9,99,98
University of Chicago,94.6,10,91.5,93.8,73.4,99.9,96.3,81.6
Princeton University,94.4,11,100,92.9,47.2,100,98.5,68.2
National University of Singapore (NUS),94.2,12,78.9,92.9,100,100,100,92.5
"Nanyang Technological University, Singapore (NTU)",93.9,13,86.5,94.2,100,95.3,97.5,94
EPFL (Ecole Polytechnique FÃ©dÃ©rale de Lausanne),93.8,14,99.3,93.6,100,89.1,93.6,100
Yale University,92.2,15,71.3,100,89.9,100,100,65.5
Johns Hopkins University,91.9,16,84.9,100,96.6,97.2,74,71.2
Cornell University,91.8,17,97.1,73.9,90.2,99.9,96.7,66
University of Pennsylvania,91.5,18,80.5,100,52.9,98.8,97.4,66.6
Kings College London,91,19,77.5,89.9,95.4,95.2,95.9,98.2
The Australian National University,91,19,89.4,68.9,100,99.6,94.4,96.7
The University of Edinburgh,90.8,21,71.5,85.3,93.1,99.7,98,97.9
Columbia University,89.7,22,67,100,33,100,99.4,89.8
"Ecole normale supÃ©rieure, Paris",89.2,23,100,91.9,55.6,89.6,78.9,82.6
McGill University,88.6,24,70.4,80.8,88.3,99.1,94.7,92.3
Tsinghua University,88.5,25,84.2,87.5,47.8,99.6,99.5,36.1
"University of California, Berkeley (UCB)",88.4,26,99.9,46.9,96.8,100,99.9,79.3
"University of California, Los Angeles (UCLA)",88.2,27,89.6,74.2,57.4,100,99.7,49
The Hong Kong University of Science and Technology,88,28,89.4,65.8,100,94.3,91.8,97
Duke University,87.9,29,85.4,99.8,,96.4,84.6,57.4
The University of Hong Kong,87.8,30,56.3,84.5,100,99.5,97.4,98.6
University of Michigan,87.8,30,84.5,81.3,65.4,99.9,91.4,42.2
Northwestern University,87.7,32,96.4,92.3,,94,81.1,51.7
The University of Manchester,87.2,33,61.9,79.4,83.9,99.3,99.9,97.1
University of Toronto,87.1,34,57.3,82.6,97.1,99.9,95.6,90.3
London School of Economics and Political Science (LSE),86.2,35,77.6,65,100,93.8,100,100
Seoul National University,85.3,36,79,84.2,30.2,99.2,96.6,
University of Bristol,85,37,69,79.7,86.1,92.1,98.2,81.2
Kyoto University,84.9,38,71.5,94.1,,99.9,96.6,
The University of Tokyo,84.8,39,64.9,96.3,,100,99.9,
Ecole Polytechnique,83.8,40,75.7,99.2,96.2,73.5,99.6,88.5
Peking University,83.7,41,70.8,73,50.5,99.9,99.8,45.2
The University of Melbourne,83.1,42,80.9,,80.1,99.8,99.8,97.9
KAIST - Korea Advanced Institute of Science & Technology,82.6,43,100,78.5,,89.4,86.6,
"University of California, San Diego (UCSD)",82.5,44,94.5,66.8,31.3,98,71.3,42.4
The University of Sydney,81.9,45,72.7,,99.4,99.5,99.4,89.8
The University of New South Wales (UNSW Australia),81.8,46,80,,100,96.9,99.6,92.7
The University of Queensland,81.8,46,84,41.9,99.6,95.6,91.3,82.4
The University of Warwick,81.6,48,66.3,62.4,93.5,90.4,99.7,98.1
Brown University,81.5,49,96.6,81.7,49.4,81.9,71.2,66.2
University of British Columbia,81.2,50,73.7,47,85.4,99.6,95.8,63.2
The Chinese University of Hong Kong,81.1,51,61.2,69.3,97.8,95.4,85.6,63.7
Fudan University,81.1,51,81,61.3,52.2,94.1,96.9,49.4
New York University (NYU),80.5,53,,94.8,,98.8,97.8,82.3
University of Wisconsin-Madison,80.3,54,66.9,85.7,51.6,97.4,62.1,36.1
University of Amsterdam,80.2,55,84.4,54.3,70,95.1,88.1,37.8
Tokyo Institute of Technology,79.4,56,80.4,87.2,,86.2,84.5,
City University of Hong Kong,79.2,57,93.4,81.9,100,72.7,50.7,95.4
Osaka University,78.3,58,69.2,86.8,,92.5,80.9,
University of Illinois at Urbana-Champaign,77.5,59,98.2,,62.1,97.7,75.8,70
Technische UniversitÃ¤t MÃ¼nchen,77.3,60,,90.3,53,90.4,98.3,65.2
Durham University,77,61,90.6,48.7,91.7,75.4,98.4,88.1
Carnegie Mellon University,76.8,62,99.9,,,88.1,83.9,99.3
University of Glasgow,76.8,62,64.4,64.4,86.9,87.5,68.3,94.4
Delft University of Technology,76.5,64,96.1,,93.2,83.9,89.4,71.2
University of Washington,76.3,65,94.5,54.1,,95.5,55.8,43.8
Ruprecht-Karls-Universitaet Heidelberg,76.1,66,43.3,77.6,49.5,95.5,80.5,59.6
Monash University,76,67,67.1,,98.4,94.5,96.9,93.7
University of St Andrews,75.9,68,84.5,79,96.6,65.9,68.2,99.9
University of Copenhagen,75.7,69,,99.9,82,89.1,77.7,37.8
The University of Nottingham,75.4,70,61.9,61.1,87.3,80.6,96.7,87.6
Lund University,75.4,70,58.1,58.1,83.5,89.3,84.2,72.7
National Taiwan University (NTU),75.4,70,85.9,46.1,,98,75,
Shanghai Jiao Tong University,75.4,70,83.8,47.3,60.8,88.8,95.9,
Tohoku University,75.2,74,61.4,97.1,,86,72.1,
Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen,74.7,75,56.8,49.8,57.1,98.1,91.6,39.9
University of Birmingham,74.6,76,57.6,60.4,85.1,82.4,94.9,83.4
University of Texas at Austin,74.5,77,97.5,,,98.5,85.8,
Trinity College Dublin,74.3,78,63,60.7,95.8,82.5,73.8,84.6
"University of North Carolina, Chapel Hill",73.7,79,79.9,81.7,38.1,84.1,45.7,
The University of Sheffield,73.6,80,59,66.3,81.5,79,79.7,95
University of Southampton,72.8,81,63.5,76.6,89.2,72.9,64,92.3
The University of Auckland,72.4,82,58.5,,85.2,92.7,93.6,88.4
KU Leuven,72.4,82,92.6,,80,92.4,76.4,41.6
Georgia Institute of Technology,72.3,84,89.9,44.5,,81.8,78.2,86.9
University of Zurich,72.2,85,,90.8,100,78.1,72.7,62.6
"University of California, Davis",72.2,85,93.9,,65.7,85.8,62,46.9
University of Leeds,72,87,55.2,57.9,75.8,81.7,90.7,73.7
Pohang University of Science And Technology (POSTECH),72,87,100,99.6,49.7,56.1,64.9,
University of Geneva,71.2,89,86.5,62.3,100,69.8,,99
Purdue University,71.2,89,73.3,,94.1,81,77.2,78.1
Boston University,71.1,91,71.2,62.5,,78.5,85.6,73.7
KTH Royal Institute of Technology,70.9,92,80.9,67.7,86.1,64.1,88,46.2
"KIT, Karlsruhe Institute of Technology",70.8,93,65.8,84.7,57.1,64,96.2,48.6
Utrecht University,70.7,94,84.5,47.1,59.4,83.7,69,
Leiden University,70.3,95,83.2,43.6,66.7,87.1,55.2,
University of Alberta,70.1,96,56.5,56.7,90.3,79.5,68.7,82.9
University of Helsinki,70.1,96,36.8,94.6,59.9,83.7,64.7,
The University of Western Australia,69.4,98,76.1,,99.7,79.3,70.3,65.6
The Ohio State University,69.3,99,47,71.9,80.4,82,57.4,55.2
University of Groningen,68.8,100,48,81.1,93.4,69.1,58.5,94.2
Pennsylvania State University,68.7,101,86.1,,,85.7,73.3,45.5
Uppsala University,68.4,102,64.2,47,,85.7,65.6,75.8
University of York,68.3,103,76.6,51.5,87.1,67.7,70.1,81.1
Korea University,68.2,104,42.6,83.2,,78.4,84.6,39.2
Yonsei University,67.9,105,40.3,83.8,,79.4,86.6,
Rice University,67.8,106,99.7,84.2,86.1,50.5,,87.1
Aarhus University,67.4,107,81.7,43.3,71,74.9,63.8,47.1
Lomonosov Moscow State University,67.2,108,,99.6,,84.2,82.1,56.1
Queen Mary University of London,67,109,57.5,72.4,96.6,63.4,57.4,99.3
Washington University in St. Louis,66.9,110,76.7,99.9,,60.4,,58.7
Zhejiang University,66.9,110,90.3,,,80.2,80.1,
Technical University of Denmark,66.8,112,80.2,95.4,97.1,44.1,52.9,74.8
The University of Adelaide,66.7,113,53.9,42.2,93.5,75.2,76.5,98.6
University of Science and Technology of China,66.7,113,97.9,62.8,,72.1,48.7,
UniversitÃ© de MontrÃ©al,66.6,115,62,,85,79.5,75.6,80.1
The Hong Kong Polytechnic University,66.3,116,70.5,47,99.3,69.1,59.6,82
Eindhoven University of Technology,66.2,117,69.6,99.4,100,50.5,57.3,
Sungkyunkwan University (SKKU),66.1,118,43.5,86.9,,68.9,99.4,
Freie Universitaet Berlin,65.7,119,61.3,,60.1,93.3,62.7,54.6
Nagoya University,65.6,120,45.7,93.7,,73.7,58,
Lancaster University,65.5,121,82.3,45.1,91.4,59.1,69.2,95.8
Cardiff University,65,122,53.8,66.8,71.7,63.8,73.3,85.7
University of Minnesota,64.9,123,97.4,,,84.1,46.3,37.6
Universidad de Buenos Aires (UBA),64.6,124,,61.4,30.4,95.7,98.9,38
Ghent University,64.6,124,40.9,90.3,55.8,71.5,54.9,
Erasmus University Rotterdam,64.5,126,67.1,65.7,69.2,55.1,90.4,65.3
Humboldt-UniversitÃ¤t zu Berlin,64.5,126,41.7,,55.4,96.6,76.6,42.8
"University of Maryland, College Park",64.5,126,82.3,63.3,31.2,70,,37
"University of California, Santa Barbara (UCSB)",64.3,129,100,,62.7,84.4,,44.7
University of Southern California,64.2,130,76.7,42.9,34.8,70.4,65.1,74.1
Nanjing University,64.2,130,86.5,,38.7,76.7,63.6,
Chalmers University of Technology,64,132,76.3,71.9,78.7,48.6,86.5,44.6
Albert-Ludwigs-Universitaet Freiburg,63.5,133,64.7,59.3,58.3,74.1,,45.4
University of Pittsburgh,63.5,133,67.6,93.8,64.6,58.2,,
Wageningen University,63.4,135,52.9,99.9,42.8,55.6,40,86.5
University of Oslo,63.4,135,61.1,61.3,67,71.5,45.4,45.4
University of Aberdeen,63.2,137,64.1,65.3,93.4,53.6,63.3,94.4
UniversitÃ© Pierre et Marie Curie (UPMC),63.2,137,89.4,,36.4,72.3,52.3,53.2
University of Basel,63.1,139,96.6,,100,54.5,48.3,85.1
Aalto University,63.1,139,63.5,92.6,75.6,50.5,58.5,38.7
Hokkaido University,63.1,139,48.4,85.8,,69.8,64.7,
Kyushu University,62.7,142,,98.8,,69.3,66.4,
University of Lausanne,62.4,143,38.5,95.2,97.6,53.2,55,77.9
Universidade de SÃ£o Paulo,62.4,143,,,,95.3,94.6,
RWTH Aachen University,62.2,145,53,,31.4,78.5,97.6,50.7
Universiti Malaya (UM),62.1,146,,94.1,80.6,62,56.8,77.3
Indian Institute of Science (IISc) Bangalore,62,147,99.3,84.4,,52.5,39.7,
The Hebrew University of Jerusalem,61.8,148,59.4,82.5,52,66.9,,
UniversitÃ© Catholique de Louvain (UCL),61.5,149,,55.2,78.9,76.5,72.4,65.4
McMaster University,61.5,149,53.3,64.6,91.5,61.7,60.2,50.6
University of Liverpool,61.1,151,50.1,66.8,76.9,55.1,69.5,95.1
University of Waterloo,60.9,152,88.6,,78.3,61,79.4,75.7
University of Vienna,60.8,153,,,94.8,82.5,57.9,93.4
University College Dublin,60.5,154,63.1,,90.9,62.2,72.4,63.7
National Tsing Hua University,60.2,155,99.8,,39.1,65.2,49,
Ecole Centrale de Paris,60.1,156,74.3,86.7,,,100,94.9
University of Reading,60.1,156,67.7,51.5,86.6,51.1,68.2,89.7
Dartmouth College,60,158,83.8,86.4,,41.1,65.3,51.6
University of Bath,59.8,159,68.3,,90.5,51.3,89,90.4
Texas A&M University,59.7,159,89.8,,,76.3,68.3,
Universidad Nacional AutÃ³noma de MÃ©xico (UNAM),59.6,160,,49.4,,95.9,92.5,
The University of Exeter,59.5,161,66.9,44.3,85.2,52,76.7,87.1
Newcastle University,59.4,162,55.8,61.8,83.4,49.6,73.2,88.6
"University of California, Irvine",59.2,163,95.7,,52.8,63.3,40.9,69.9
Michigan State University,58.9,164,70.8,,61.5,69.8,59.5,55.6
Emory University,58.8,165,89.6,85.1,45,41.8,,45.2
University of Bern,58.6,166,99.9,46.3,99.4,43.8,45.4,43.5
University of Barcelona,58.6,166,38.8,,,86.9,74.1,
Georg-August-University Goettingen,58.5,168,,74.9,44.5,74.2,,37.9
Maastricht University,58.2,169,60.6,71.5,94.8,37.5,68.8,99.9
Pontificia Universidad CatÃ³lica de Chile (UC),58.1,170,,,,90.7,98.3,
University of Cape Town,57.8,171,53.3,,70.1,68.9,60.6,52.5
University of Virginia,57.7,172,62.6,70.9,53.4,53.7,49.7,35.9
University of Otago,57,173,60.4,,100,62.7,53.8,66
Eberhard Karls UniversitÃ¤t TÃ¼bingen,57,173,,82.4,47.2,64.5,51.4,
University of Colorado Boulder,56.9,175,61.5,70.1,40.2,56,51.6,
Vrije Universiteit Amsterdam,56.8,176,66.1,,44.3,64.3,66.8,
Radboud University,56.7,177,85.1,60,52.2,47,42.2,38.8
Technische UniversitÃ¤t Berlin,56.6,178,,,39.2,70.5,82.3,56.9
Indian Institute of Technology Delhi (IITD),56.4,179,96.2,,,55.3,81.6,
University of Florida,56.1,180,48.3,68.2,,65.3,44.6,
University of Bergen,55.9,181,59,86.4,78.9,47.3,,
Queen's University Belfast,55.8,182,50.1,52.4,97.8,49.9,56.6,94
National Chiao Tung University,55.8,182,96.5,64.9,49,37.5,,63.1
Stockholm University,55.8,182,53.3,,,76.9,50.8,
"University of Illinois, Chicago (UIC)",55.7,185,59.5,47.5,61.3,59,46.7,57.7
University of Sussex,55.6,187,77,,100,48.4,,96.9
Universidad Autonoma de Madrid,55.5,186,37.8,51.3,,72.5,68.6,
Politecnico di Milano,55.2,187,66.7,,38.2,64.7,89.8,48.5
University of Twente,55.1,188,97.5,44.3,81.1,37.4,39.6,73.4
Ã‰cole Normale SupÃ©rieure de Lyon,55.1,188,,100,53.9,58.3,,38.4
